EPA AQS ID,Country Code,Data Source,EPA Region,Elevation,GMT Offset Amount (hours),Latitude,Local Time at Monitor,Longitude,OZONE,Ozone & PM AQI,Ozone & PM AQI (For Labeling),Ozone & PM AQI (For Sorting),Ozone AQI,Ozone AQI (For Labeling),Ozone AQI (For Sorting),Ozone Measured at Site,Ozone Unit of Measure,PM10,PM10 AQI,PM10 AQI (For Labeling),PM10 AQI (For Sorting),PM10 Measured at Site,PM10 Unit of Measure,PM2.5,PM2.5 AQI,PM2.5 AQI (For Labeling),PM2.5 AQI (For Sorting),PM2.5 Measured at Site,PM2.5 Unit of Measure,PM2.5 & PM10 AQI,PM2.5 & PM10 AQI (For Labeling),PM2.5 & PM10 AQI (For Sorting),Reporting Area(s),Site Name,State Name,Site Operational Status,ValidTime,ObjectId,MonitorType,x,y
060539981,US,Monterey Bay Unified APCD,R9,0,-8,36.636753,2025-05-02 01:00:00 GMT-8,-121.807495,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Marshall Park Elementary,CA,Inactive,5/2/2025 9:00:00 AM,474959109,Permanent,-13559548.3182042,4388595.06407887
060539982,US,Monterey Bay Unified APCD,R9,0,-8,36.620125,2025-05-02 01:00:00 GMT-8,-121.816645,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,MPWMD,CA,Inactive,5/2/2025 9:00:00 AM,474959110,Permanent,-13560566.891545,4386288.55808431
060539983,US,Monterey Bay Unified APCD,R9,0,-8,36.606912,2025-05-02 01:00:00 GMT-8,-121.898879,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Presidio of Monterey,CA,Inactive,5/2/2025 9:00:00 AM,474959111,Permanent,-13569721.1385509,4384456.10886099
060539984,US,Monterey Bay Unified APCD,R9,0,-8,36.598671,2025-05-02 01:00:00 GMT-8,-121.838383,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Del Rey Woods,CA,Inactive,5/2/2025 9:00:00 AM,474959112,Permanent,-13562986.7546358,4383313.36203507
060539985,US,Monterey Bay Unified APCD,R9,0,-8,36.577939,2025-05-02 01:00:00 GMT-8,-121.715517,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Ingham,CA,Inactive,5/2/2025 9:00:00 AM,474959113,Permanent,-13549309.37408,4380439.07736781
060539986,US,Monterey Bay Unified APCD,R9,0,-8,36.596824,2025-05-02 01:00:00 GMT-8,-121.706649,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Toro Park,CA,Inactive,5/2/2025 9:00:00 AM,474959114,Permanent,-13548322.1928357,4383057.26260633
060539987,US,Monterey Bay Unified APCD,R9,0,-8,36.625659,2025-05-02 01:00:00 GMT-8,-121.643246,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Spreckles School,CA,Inactive,5/2/2025 9:00:00 AM,474959115,Permanent,-13541264.2031609,4387056.13599613
060539995,US,Monterey Bay Unified APCD,R9,61,-8,36.609014,2025-05-02 01:00:00 GMT-8,-121.829122,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Seaside Fire Station,CA,Inactive,5/2/2025 9:00:00 AM,474959116,Permanent,-13561955.8248316,4384747.60441702
060539996,US,Monterey Bay Unified APCD,R9,23.5,-8,36.617972,2025-05-02 01:00:00 GMT-8,-121.6879,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Toro Fire Station,CA,Inactive,5/2/2025 9:00:00 AM,474959117,Permanent,-13546235.0637028,4385989.94716075
060539997,US,Monterey Bay Unified APCD,R9,72.6,-8,36.613169,2025-05-02 01:00:00 GMT-8,-121.827594,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Manzanita,CA,Inactive,5/2/2025 9:00:00 AM,474959118,Permanent,-13561785.7286497,4385323.82381204
060539998,US,Monterey Bay Unified APCD,R9,147.6,-8,36.572725,2025-05-02 01:00:00 GMT-8,-121.804919,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,MBARD Office - Monterey,CA,Inactive,5/2/2025 9:00:00 AM,474959119,Permanent,-13559261.5591959,4379716.3298321
060539999,US,Monterey Bay Unified APCD,R9,130.8,-8,36.569272,2025-05-02 01:00:00 GMT-8,-121.755291,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Laureles Fire Station,CA,Inactive,5/2/2025 9:00:00 AM,474959120,Permanent,-13553736.9955068,4379237.71318486
060550003,US,Bay Area Air District,R9,4,-8,38.3108,2025-05-02 01:00:00 GMT-8,-122.295,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Napa,Napa - Jefferson St,CA,Inactive,5/2/2025 9:00:00 AM,474959121,Permanent,-13613817.1265634,4623424.94683644
060550004,US,Bay Area Air District,R9,10.1,-8,38.278849,2025-05-02 01:00:00 GMT-8,-122.275024,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Napa,Napa - Napa Valley College,CA,Inactive,5/2/2025 9:00:00 AM,474959122,Permanent,-13611593.4084153,4618893.06286617
060570005,US,Northern Sierra AQMD,R9,0,-8,39.234402,2025-05-02 01:00:00 GMT-8,-121.055603,47,45,45,45,45,45,45,1,PPB,,,ND,-999,0,,7,32,32,32,1,UG/M3,32,32,32,Western Nevada County,Grass Valley,CA,Active,5/2/2025 9:00:00 AM,474959123,Permanent,-13475848.0836327,4755303.48205424
060570007,US,California Air Resources Board,R9,1335.6,-8,39.31779,2025-05-02 01:00:00 GMT-8,-120.84527,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,White Cloud Mountain (seasonal),CA,Inactive,5/2/2025 9:00:00 AM,474959124,Permanent,-13452433.9211757,4767295.03218649
060571001,US,Northern Sierra AQMD,R9,0,-8,39.327852,2025-05-02 01:00:00 GMT-8,-120.184617,,27,27,27,,ND,-999,0,,,,ND,-999,0,,4.1,27,27,27,1,UG/M3,27,27,27,Truckee,Truckee BAM,CA,Active,5/2/2025 9:00:00 AM,474959125,Permanent,-13378890.3656246,4768742.95654085
060590007,US,South Coast AQMD,R9,15.3,-8,33.830586,2025-05-02 01:00:00 GMT-8,-117.938509,29,53,53,53,28,28,28,1,PPB,12.0,13.0,13,13,1,UG/M3,11.8,53,53,53,1,UG/M3,53,53,53,Los Angeles Metro and Inland Orange Co.|Southeast LA CO|North Orange CO|Central Orange|Saddleback Vly|Norco and Corona,Anaheim,CA,Active,5/2/2025 9:00:00 AM,474959126,Permanent,-13128854.7667979,4006076.48646961
060590008,US,South Coast AQMD,R9,0,-8,33.819305,2025-05-02 01:00:00 GMT-8,-117.918759,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Anaheim Near Road,CA,Active,5/2/2025 9:00:00 AM,474959127,Permanent,-13126656.2068547,4004564.83195787
060591003,US,South Coast AQMD,R9,7.6,-8,33.674543,2025-05-02 01:00:00 GMT-8,-117.925587,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Los Angeles and Orange Co. Coastal|Los Angeles Metro and Inland Orange Co.|Central Orange-2|N Coastal Orange|Central Coastal,Costa Mesa - Mesa Verde Dr,CA,Inactive,5/2/2025 9:00:00 AM,474959128,Permanent,-13127416.2963379,3985184.37358398
060592022,US,South Coast AQMD,R9,122,-8,33.629991,2025-05-02 01:00:00 GMT-8,-117.675875,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Los Angeles and Orange Co. Coastal|Los Angeles Metro and Inland Orange Co.|Saddleback Vly|Central Coastal|Capistrano Vly,Mission Viejo,CA,Inactive,5/2/2025 9:00:00 AM,474959129,Permanent,-13099618.4836529,3979226.40815125
